id,category,subtopic,difficulty,grade_range,question,choice1,choice2,choice3,choice4,answer_index,answer_text,explanation
G001,geography,世界の国々,basic,J1/J2,中国の首都として正しいものを選びなさい。,北京,ウェリントン,ハノイ,ソウル,0,北京,中国の首都は北京です。
G002,geography,州区分,basic,J1/J2,中国が主に位置する州として最も適切なものを選びなさい。,北アメリカ州,アフリカ州,ヨーロッパ州,アジア州,3,アジア州,中国はアジア州に位置します。
G003,geography,世界の国々,basic,J1/J2,韓国の首都として正しいものを選びなさい。,プレトリア,ソウル,キャンベラ,バンコク,1,ソウル,韓国の首都はソウルです。
G004,geography,州区分,basic,J1/J2,韓国が主に位置する州として最も適切なものを選びなさい。,北アメリカ州,南アメリカ州,ヨーロッパ州,アジア州,3,アジア州,韓国はアジア州に位置します。
G005,geography,世界の国々,basic,J1/J2,インドの首都として正しいものを選びなさい。,ニューデリー,北京,カイロ,ロンドン,0,ニューデリー,インドの首都はニューデリーです。
G006,geography,州区分,basic,J1/J2,インドが主に位置する州として最も適切なものを選びなさい。,ヨーロッパ州,アジア州,アフリカ州,オセアニア州,1,アジア州,インドはアジア州に位置します。
G007,geography,世界の国々,basic,J1/J2,タイの首都として正しいものを選びなさい。,バンコク,モスクワ,ウェリントン,ブラジリア,0,バンコク,タイの首都はバンコクです。
G008,geography,州区分,basic,J1/J2,タイが主に位置する州として最も適切なものを選びなさい。,アジア州,ヨーロッパ州,オセアニア州,北アメリカ州,0,アジア州,タイはアジア州に位置します。
G009,geography,世界の国々,basic,J1/J2,ベトナムの首都として正しいものを選びなさい。,プレトリア,ハノイ,ニューデリー,ブラジリア,1,ハノイ,ベトナムの首都はハノイです。
G010,geography,州区分,basic,J1/J2,ベトナムが主に位置する州として最も適切なものを選びなさい。,アジア州,南アメリカ州,ヨーロッパ州,アフリカ州,0,アジア州,ベトナムはアジア州に位置します。
G011,geography,世界の国々,basic,J1/J2,サウジアラビアの首都として正しいものを選びなさい。,リヤド,パリ,ブラジリア,カイロ,0,リヤド,サウジアラビアの首都はリヤドです。
G012,geography,州区分,basic,J1/J2,サウジアラビアが主に位置する州として最も適切なものを選びなさい。,アジア州,アフリカ州,北アメリカ州,ヨーロッパ州,0,アジア州,サウジアラビアはアジア州に位置します。
G013,geography,世界の国々,basic,J1/J2,エジプトの首都として正しいものを選びなさい。,パリ,リヤド,カイロ,ブエノスアイレス,2,カイロ,エジプトの首都はカイロです。
G014,geography,州区分,basic,J1/J2,エジプトが主に位置する州として最も適切なものを選びなさい。,アフリカ州,アジア州,ヨーロッパ州,南アメリカ州,0,アフリカ州,エジプトはアフリカ州に位置します。
G015,geography,世界の国々,basic,J1/J2,南アフリカ共和国の首都として正しいものを選びなさい。,プレトリア,ニューデリー,ウェリントン,カイロ,0,プレトリア,南アフリカ共和国の首都はプレトリアです。
G016,geography,州区分,basic,J1/J2,南アフリカ共和国が主に位置する州として最も適切なものを選びなさい。,北アメリカ州,アフリカ州,アジア州,ヨーロッパ州,1,アフリカ州,南アフリカ共和国はアフリカ州に位置します。
G017,geography,世界の国々,basic,J1/J2,オーストラリアの首都として正しいものを選びなさい。,ロンドン,モスクワ,ウェリントン,キャンベラ,3,キャンベラ,オーストラリアの首都はキャンベラです。
G018,geography,州区分,basic,J1/J2,オーストラリアが主に位置する州として最も適切なものを選びなさい。,アジア州,ヨーロッパ州,オセアニア州,アフリカ州,2,オセアニア州,オーストラリアはオセアニア州に位置します。
G019,geography,世界の国々,basic,J1/J2,ニュージーランドの首都として正しいものを選びなさい。,リヤド,ニューデリー,ロンドン,ウェリントン,3,ウェリントン,ニュージーランドの首都はウェリントンです。
G020,geography,州区分,basic,J1/J2,ニュージーランドが主に位置する州として最も適切なものを選びなさい。,南アメリカ州,オセアニア州,アジア州,北アメリカ州,1,オセアニア州,ニュージーランドはオセアニア州に位置します。
G021,geography,世界の国々,basic,J1/J2,アメリカ合衆国の首都として正しいものを選びなさい。,ワシントンD.C.,オタワ,キャンベラ,モスクワ,0,ワシントンD.C.,アメリカ合衆国の首都はワシントンD.C.です。
G022,geography,州区分,basic,J1/J2,アメリカ合衆国が主に位置する州として最も適切なものを選びなさい。,南アメリカ州,オセアニア州,北アメリカ州,ヨーロッパ州,2,北アメリカ州,アメリカ合衆国は北アメリカ州に位置します。
G023,geography,世界の国々,basic,J1/J2,カナダの首都として正しいものを選びなさい。,ウェリントン,オタワ,ローマ,バンコク,1,オタワ,カナダの首都はオタワです。
G024,geography,州区分,basic,J1/J2,カナダが主に位置する州として最も適切なものを選びなさい。,北アメリカ州,オセアニア州,ヨーロッパ州,アフリカ州,0,北アメリカ州,カナダは北アメリカ州に位置します。
G025,geography,世界の国々,basic,J1/J2,ブラジルの首都として正しいものを選びなさい。,ブラジリア,ウェリントン,バンコク,オタワ,0,ブラジリア,ブラジルの首都はブラジリアです。
G026,geography,州区分,basic,J1/J2,ブラジルが主に位置する州として最も適切なものを選びなさい。,ヨーロッパ州,アジア州,北アメリカ州,南アメリカ州,3,南アメリカ州,ブラジルは南アメリカ州に位置します。
G027,geography,世界の国々,basic,J1/J2,アルゼンチンの首都として正しいものを選びなさい。,ハノイ,ベルリン,ブエノスアイレス,リヤド,2,ブエノスアイレス,アルゼンチンの首都はブエノスアイレスです。
G028,geography,州区分,basic,J1/J2,アルゼンチンが主に位置する州として最も適切なものを選びなさい。,オセアニア州,南アメリカ州,北アメリカ州,アフリカ州,1,南アメリカ州,アルゼンチンは南アメリカ州に位置します。
G029,geography,世界の国々,basic,J1/J2,イギリスの首都として正しいものを選びなさい。,ローマ,モスクワ,ロンドン,パリ,2,ロンドン,イギリスの首都はロンドンです。
G030,geography,州区分,basic,J1/J2,イギリスが主に位置する州として最も適切なものを選びなさい。,ヨーロッパ州,オセアニア州,北アメリカ州,南アメリカ州,0,ヨーロッパ州,イギリスはヨーロッパ州に位置します。
G031,geography,世界の国々,basic,J1/J2,フランスの首都として正しいものを選びなさい。,パリ,ソウル,北京,ニューデリー,0,パリ,フランスの首都はパリです。
G032,geography,州区分,basic,J1/J2,フランスが主に位置する州として最も適切なものを選びなさい。,南アメリカ州,北アメリカ州,ヨーロッパ州,オセアニア州,2,ヨーロッパ州,フランスはヨーロッパ州に位置します。
G033,geography,世界の国々,basic,J1/J2,ドイツの首都として正しいものを選びなさい。,カイロ,パリ,ベルリン,ハノイ,2,ベルリン,ドイツの首都はベルリンです。
G034,geography,州区分,basic,J1/J2,ドイツが主に位置する州として最も適切なものを選びなさい。,アフリカ州,アジア州,オセアニア州,ヨーロッパ州,3,ヨーロッパ州,ドイツはヨーロッパ州に位置します。
G035,geography,世界の国々,basic,J1/J2,イタリアの首都として正しいものを選びなさい。,ソウル,ロンドン,ローマ,ブエノスアイレス,2,ローマ,イタリアの首都はローマです。
G036,geography,州区分,basic,J1/J2,イタリアが主に位置する州として最も適切なものを選びなさい。,アジア州,ヨーロッパ州,南アメリカ州,オセアニア州,1,ヨーロッパ州,イタリアはヨーロッパ州に位置します。
G037,geography,世界の国々,basic,J1/J2,ロシアの首都として正しいものを選びなさい。,モスクワ,ハノイ,ブエノスアイレス,リヤド,0,モスクワ,ロシアの首都はモスクワです。
G038,geography,州区分,basic,J1/J2,ロシアが主に位置する州として最も適切なものを選びなさい。,アジア州,南アメリカ州,ヨーロッパ州,オセアニア州,2,ヨーロッパ州,ロシアはヨーロッパ州に位置します。
G039,geography,自然環境,basic,J1/J2,ナイル川がみられる地域として最も適切なものを選びなさい。,南アメリカ,南アメリカ,北アメリカ,アフリカ,3,アフリカ,ナイル川はアフリカにみられます。世界で長い川として知られる。
G040,geography,自然環境,basic,J1/J2,アマゾン川がみられる地域として最も適切なものを選びなさい。,アフリカ,北アメリカ,南アメリカ,ヨーロッパ,2,南アメリカ,アマゾン川は南アメリカにみられます。流域面積が非常に広い。
G041,geography,自然環境,basic,J1/J2,ミシシッピ川がみられる地域として最も適切なものを選びなさい。,ヨーロッパ,北アメリカ,アジア,オセアニア,1,北アメリカ,ミシシッピ川は北アメリカにみられます。アメリカ合衆国の中央部を流れる。
G042,geography,自然環境,basic,J1/J2,エベレストがみられる地域として最も適切なものを選びなさい。,アジア,北アメリカ,南アメリカ,オセアニア,0,アジア,エベレストはアジアにみられます。ヒマラヤ山脈にある世界最高峰。
G043,geography,自然環境,basic,J1/J2,アルプス山脈がみられる地域として最も適切なものを選びなさい。,ヨーロッパ,北アメリカ,アフリカ,南アメリカ,0,ヨーロッパ,アルプス山脈はヨーロッパにみられます。ヨーロッパ南部に広がる。
G044,geography,自然環境,basic,J1/J2,ロッキー山脈がみられる地域として最も適切なものを選びなさい。,オセアニア,北アメリカ,南アメリカ,南アメリカ,1,北アメリカ,ロッキー山脈は北アメリカにみられます。北アメリカ西部を南北にのびる。
G045,geography,自然環境,basic,J1/J2,アンデス山脈がみられる地域として最も適切なものを選びなさい。,北アメリカ,北アメリカ,南アメリカ,アフリカ,2,南アメリカ,アンデス山脈は南アメリカにみられます。南アメリカ西岸を南北にのびる。
G046,geography,日本の地方,basic,J1/J2,北海道地方の中心都市として最も適切なものを選びなさい。,札幌市,仙台市,さいたま市,広島市,0,札幌市,北海道地方の代表的な都市は札幌市です。
G047,geography,日本の地方,basic,J1/J2,北海道地方の特色として最も適切なものを選びなさい。,工業,畜産,酪農,人口集中,2,酪農,北海道地方では酪農が特徴の一つです。
G048,geography,日本の地方,basic,J1/J2,東北地方の中心都市として最も適切なものを選びなさい。,名古屋市,仙台市,さいたま市,大阪市,1,仙台市,東北地方の代表的な都市は仙台市です。
G049,geography,日本の地方,basic,J1/J2,東北地方の特色として最も適切なものを選びなさい。,瀬戸内の工業,米づくり,酪農,商業,1,米づくり,東北地方では米づくりが特徴の一つです。
G050,geography,日本の地方,basic,J1/J2,関東地方の中心都市として最も適切なものを選びなさい。,名古屋市,さいたま市,広島市,仙台市,1,さいたま市,関東地方の代表的な都市はさいたま市です。
G051,geography,日本の地方,basic,J1/J2,関東地方の特色として最も適切なものを選びなさい。,工業,畜産,米づくり,人口集中,3,人口集中,関東地方では人口集中が特徴の一つです。
G052,geography,日本の地方,basic,J1/J2,中部地方の中心都市として最も適切なものを選びなさい。,福岡市,広島市,名古屋市,札幌市,2,名古屋市,中部地方の代表的な都市は名古屋市です。
G053,geography,日本の地方,basic,J1/J2,中部地方の特色として最も適切なものを選びなさい。,人口集中,工業,酪農,米づくり,1,工業,中部地方では工業が特徴の一つです。
G054,geography,日本の地方,basic,J1/J2,近畿地方の中心都市として最も適切なものを選びなさい。,大阪市,福岡市,さいたま市,仙台市,0,大阪市,近畿地方の代表的な都市は大阪市です。
G055,geography,日本の地方,basic,J1/J2,近畿地方の特色として最も適切なものを選びなさい。,人口集中,工業,商業,瀬戸内の工業,2,商業,近畿地方では商業が特徴の一つです。
G056,geography,日本の地方,basic,J1/J2,中国・四国地方の中心都市として最も適切なものを選びなさい。,広島市,札幌市,さいたま市,大阪市,0,広島市,中国・四国地方の代表的な都市は広島市です。
G057,geography,日本の地方,basic,J1/J2,中国・四国地方の特色として最も適切なものを選びなさい。,工業,商業,瀬戸内の工業,米づくり,2,瀬戸内の工業,中国・四国地方では瀬戸内の工業が特徴の一つです。
G058,geography,日本の地方,basic,J1/J2,九州地方の中心都市として最も適切なものを選びなさい。,仙台市,広島市,福岡市,札幌市,2,福岡市,九州地方の代表的な都市は福岡市です。
G059,geography,日本の地方,basic,J1/J2,九州地方の特色として最も適切なものを選びなさい。,畜産,工業,米づくり,酪農,0,畜産,九州地方では畜産が特徴の一つです。
G060,geography,日本の産業,basic,J1/J2,北海道の説明として正しいものを選びなさい。,冷涼な気候を生かした畑作と酪農,海上交通を生かした工業,人口が多く第三次産業が発達,自動車工業がさかん,0,冷涼な気候を生かした畑作と酪農,北海道の特色は「冷涼な気候を生かした畑作と酪農」です。
G061,geography,日本の産業,basic,J1/J2,東北地方の説明として正しいものを選びなさい。,かつて鉄鋼業で発展,米づくりがさかん,海上交通を生かした工業,人口が多く第三次産業が発達,1,米づくりがさかん,東北地方の特色は「米づくりがさかん」です。
G062,geography,日本の産業,basic,J1/J2,関東地方の説明として正しいものを選びなさい。,米づくりがさかん,冷涼な気候を生かした畑作と酪農,自動車工業がさかん,人口が多く第三次産業が発達,3,人口が多く第三次産業が発達,関東地方の特色は「人口が多く第三次産業が発達」です。
G063,geography,日本の産業,basic,J1/J2,中京工業地帯の説明として正しいものを選びなさい。,冷涼な気候を生かした畑作と酪農,米づくりがさかん,人口が多く第三次産業が発達,自動車工業がさかん,3,自動車工業がさかん,中京工業地帯の特色は「自動車工業がさかん」です。
G064,geography,日本の産業,basic,J1/J2,阪神工業地帯の説明として正しいものを選びなさい。,古くから重化学工業が発達,米づくりがさかん,かつて鉄鋼業で発展,自動車工業がさかん,0,古くから重化学工業が発達,阪神工業地帯の特色は「古くから重化学工業が発達」です。
G065,geography,日本の産業,basic,J1/J2,瀬戸内工業地域の説明として正しいものを選びなさい。,米づくりがさかん,かつて鉄鋼業で発展,冷涼な気候を生かした畑作と酪農,海上交通を生かした工業,3,海上交通を生かした工業,瀬戸内工業地域の特色は「海上交通を生かした工業」です。
G066,geography,日本の産業,basic,J1/J2,北九州工業地帯の説明として正しいものを選びなさい。,冷涼な気候を生かした畑作と酪農,人口が多く第三次産業が発達,古くから重化学工業が発達,かつて鉄鋼業で発展,3,かつて鉄鋼業で発展,北九州工業地帯の特色は「かつて鉄鋼業で発展」です。
G067,geography,気候,basic,J1/J2,地中海性気候の特徴として最も適切なものを選びなさい。,一年を通して降水があり、気温差が小さい,夏に乾燥し、冬に雨が多い,降水量が少なく、砂漠がみられる,四季の変化がみられる,1,夏に乾燥し、冬に雨が多い,地中海性気候は夏に乾燥し、冬に雨が多いのが特徴です。
G068,geography,気候,basic,J1/J2,西岸海洋性気候の特徴として最も適切なものを選びなさい。,夏に乾燥し、冬に雨が多い,一年中高温で、降水量が多い,四季の変化がみられる,一年を通して降水があり、気温差が小さい,3,一年を通して降水があり、気温差が小さい,西岸海洋性気候は一年を通して降水があり、気温差が小さいのが特徴です。
G069,geography,気候,basic,J1/J2,乾燥帯の特徴として最も適切なものを選びなさい。,一年を通して降水があり、気温差が小さい,冬の寒さが厳しく、針葉樹林が広がる,降水量が少なく、砂漠がみられる,夏に乾燥し、冬に雨が多い,2,降水量が少なく、砂漠がみられる,乾燥帯は降水量が少なく、砂漠がみられるのが特徴です。
G070,geography,気候,basic,J1/J2,熱帯の特徴として最も適切なものを選びなさい。,冬の寒さが厳しく、針葉樹林が広がる,降水量が少なく、砂漠がみられる,一年中高温で、降水量が多い,夏に乾燥し、冬に雨が多い,2,一年中高温で、降水量が多い,熱帯は一年中高温で、降水量が多いのが特徴です。
G071,geography,気候,basic,J1/J2,冷帯（亜寒帯）の特徴として最も適切なものを選びなさい。,降水量が少なく、砂漠がみられる,夏に乾燥し、冬に雨が多い,冬の寒さが厳しく、針葉樹林が広がる,一年中高温で、降水量が多い,2,冬の寒さが厳しく、針葉樹林が広がる,冷帯（亜寒帯）は冬の寒さが厳しく、針葉樹林が広がるのが特徴です。
G072,geography,気候,basic,J1/J2,温帯の特徴として最も適切なものを選びなさい。,降水量が少なく、砂漠がみられる,一年中高温で、降水量が多い,冬の寒さが厳しく、針葉樹林が広がる,四季の変化がみられる,3,四季の変化がみられる,温帯は四季の変化がみられるのが特徴です。
G073,geography,用語,basic,J1/J2,扇状地の説明として最も適切なものを選びなさい。,外国から商品を買うこと,川が山地から平地に出るところに土砂がたまってできる地形,経度の違いによって生じる時刻の差,季節によって風向きが大きく変わる風,1,川が山地から平地に出るところに土砂がたまってできる地形,扇状地とは、川が山地から平地に出るところに土砂がたまってできる地形ことです。
G074,geography,用語,basic,J1/J2,三角州の説明として最も適切なものを選びなさい。,生産者に配慮した公正な貿易,川が海や湖にそそぐ河口付近に土砂がたまってできる地形,国や地域で基準にする時刻,日本の東北地方沖を南下する寒流,1,川が海や湖にそそぐ河口付近に土砂がたまってできる地形,三角州とは、川が海や湖にそそぐ河口付近に土砂がたまってできる地形ことです。
G075,geography,用語,basic,J1/J2,リアス海岸の説明として最も適切なものを選びなさい。,海岸線が複雑に入り組んだ地形,地形図で同じ高さの地点を結ぶ線,外国から商品を買うこと,日本の東北地方沖を南下する寒流,0,海岸線が複雑に入り組んだ地形,リアス海岸とは、海岸線が複雑に入り組んだ地形ことです。
G076,geography,用語,basic,J1/J2,輪中の説明として最も適切なものを選びなさい。,遠くの海まで出て長期間行う漁業,洪水を防ぐため堤防で囲まれた土地,人口が少なくなり地域の活力が弱まること,東西を結ぶ線,1,洪水を防ぐため堤防で囲まれた土地,輪中とは、洪水を防ぐため堤防で囲まれた土地ことです。
G077,geography,用語,basic,J1/J2,棚田の説明として最も適切なものを選びなさい。,生産者に配慮した公正な貿易,人口が集中し住宅や交通などに問題が起こること,遠くの海まで出て長期間行う漁業,斜面を利用してつくられた階段状の水田,3,斜面を利用してつくられた階段状の水田,棚田とは、斜面を利用してつくられた階段状の水田ことです。
G078,geography,用語,basic,J1/J2,促成栽培の説明として最も適切なものを選びなさい。,海岸線が複雑に入り組んだ地形,温暖な気候を生かして出荷時期を早める栽培,生産者に配慮した公正な貿易,季節によって風向きが大きく変わる風,1,温暖な気候を生かして出荷時期を早める栽培,促成栽培とは、温暖な気候を生かして出荷時期を早める栽培ことです。
G079,geography,用語,basic,J1/J2,抑制栽培の説明として最も適切なものを選びなさい。,涼しい気候を生かして出荷時期を遅らせる栽培,陸地に近い海で日帰り中心に行う漁業,生産者に配慮した公正な貿易,季節によって風向きが大きく変わる風,0,涼しい気候を生かして出荷時期を遅らせる栽培,抑制栽培とは、涼しい気候を生かして出荷時期を遅らせる栽培ことです。
G080,geography,用語,basic,J1/J2,遠洋漁業の説明として最も適切なものを選びなさい。,遠くの海まで出て長期間行う漁業,子どもの割合が減り高齢者の割合が増えること,陸地に近い海で日帰り中心に行う漁業,川が海や湖にそそぐ河口付近に土砂がたまってできる地形,0,遠くの海まで出て長期間行う漁業,遠洋漁業とは、遠くの海まで出て長期間行う漁業ことです。
G081,geography,用語,basic,J1/J2,沿岸漁業の説明として最も適切なものを選びなさい。,一定面積あたりの人口,陸地に近い海で日帰り中心に行う漁業,輸出入の偏りなどから国どうしの対立が起こること,地域で生産したものを地域で消費すること,1,陸地に近い海で日帰り中心に行う漁業,沿岸漁業とは、陸地に近い海で日帰り中心に行う漁業ことです。
G082,geography,用語,basic,J1/J2,養殖漁業の説明として最も適切なものを選びなさい。,魚介類やのりなどを育てて出荷する漁業,子どもの割合が減り高齢者の割合が増えること,遠くの海まで出て長期間行う漁業,日本の東北地方沖を南下する寒流,0,魚介類やのりなどを育てて出荷する漁業,養殖漁業とは、魚介類やのりなどを育てて出荷する漁業ことです。
G083,geography,用語,basic,J1/J2,季節風の説明として最も適切なものを選びなさい。,地図を実際よりどれだけ小さくしたかを示す割合,季節によって風向きが大きく変わる風,南北を結ぶ線,一定面積あたりの人口,1,季節によって風向きが大きく変わる風,季節風とは、季節によって風向きが大きく変わる風ことです。
G084,geography,用語,basic,J1/J2,偏西風の説明として最も適切なものを選びなさい。,東西を結ぶ線,経度の違いによって生じる時刻の差,温暖な気候を生かして出荷時期を早める栽培,中緯度地域で西から東へ吹く風,3,中緯度地域で西から東へ吹く風,偏西風とは、中緯度地域で西から東へ吹く風ことです。
G085,geography,用語,basic,J1/J2,黒潮の説明として最も適切なものを選びなさい。,地図を実際よりどれだけ小さくしたかを示す割合,人口が集中し住宅や交通などに問題が起こること,日本の太平洋側を北上する暖流,洪水を防ぐため堤防で囲まれた土地,2,日本の太平洋側を北上する暖流,黒潮とは、日本の太平洋側を北上する暖流ことです。
G086,geography,用語,basic,J1/J2,親潮の説明として最も適切なものを選びなさい。,南北を結ぶ線,一定面積あたりの人口,人口が集中し住宅や交通などに問題が起こること,日本の東北地方沖を南下する寒流,3,日本の東北地方沖を南下する寒流,親潮とは、日本の東北地方沖を南下する寒流ことです。
G087,geography,用語,basic,J1/J2,過疎の説明として最も適切なものを選びなさい。,一定面積あたりの人口,国や地域で基準にする時刻,温暖な気候を生かして出荷時期を早める栽培,人口が少なくなり地域の活力が弱まること,3,人口が少なくなり地域の活力が弱まること,過疎とは、人口が少なくなり地域の活力が弱まることことです。
G088,geography,用語,basic,J1/J2,過密の説明として最も適切なものを選びなさい。,南北を結ぶ線,遠くの海まで出て長期間行う漁業,人口が集中し住宅や交通などに問題が起こること,地形図で同じ高さの地点を結ぶ線,2,人口が集中し住宅や交通などに問題が起こること,過密とは、人口が集中し住宅や交通などに問題が起こることことです。
G089,geography,用語,basic,J1/J2,少子高齢化の説明として最も適切なものを選びなさい。,陸地に近い海で日帰り中心に行う漁業,遠くの海まで出て長期間行う漁業,地域で生産したものを地域で消費すること,子どもの割合が減り高齢者の割合が増えること,3,子どもの割合が減り高齢者の割合が増えること,少子高齢化とは、子どもの割合が減り高齢者の割合が増えることことです。
G090,geography,用語,basic,J1/J2,輸出の説明として最も適切なものを選びなさい。,陸地に近い海で日帰り中心に行う漁業,遠くの海まで出て長期間行う漁業,外国へ商品を売ること,季節によって風向きが大きく変わる風,2,外国へ商品を売ること,輸出とは、外国へ商品を売ることことです。
G091,geography,用語,basic,J1/J2,輸入の説明として最も適切なものを選びなさい。,外国から商品を買うこと,斜面を利用してつくられた階段状の水田,日本の太平洋側を北上する暖流,遠くの海まで出て長期間行う漁業,0,外国から商品を買うこと,輸入とは、外国から商品を買うことことです。
G092,geography,用語,basic,J1/J2,貿易摩擦の説明として最も適切なものを選びなさい。,季節によって風向きが大きく変わる風,海岸線が複雑に入り組んだ地形,日本の東北地方沖を南下する寒流,輸出入の偏りなどから国どうしの対立が起こること,3,輸出入の偏りなどから国どうしの対立が起こること,貿易摩擦とは、輸出入の偏りなどから国どうしの対立が起こることことです。
G093,geography,用語,basic,J1/J2,再生可能エネルギーの説明として最も適切なものを選びなさい。,地形図で同じ高さの地点を結ぶ線,涼しい気候を生かして出荷時期を遅らせる栽培,日本の東北地方沖を南下する寒流,太陽光や風力など繰り返し利用できるエネルギー,3,太陽光や風力など繰り返し利用できるエネルギー,再生可能エネルギーとは、太陽光や風力など繰り返し利用できるエネルギーことです。
G094,geography,用語,basic,J1/J2,地産地消の説明として最も適切なものを選びなさい。,南北を結ぶ線,地図を実際よりどれだけ小さくしたかを示す割合,一定面積あたりの人口,地域で生産したものを地域で消費すること,3,地域で生産したものを地域で消費すること,地産地消とは、地域で生産したものを地域で消費することことです。
G095,geography,用語,basic,J1/J2,フェアトレードの説明として最も適切なものを選びなさい。,南北を結ぶ線,中緯度地域で西から東へ吹く風,魚介類やのりなどを育てて出荷する漁業,生産者に配慮した公正な貿易,3,生産者に配慮した公正な貿易,フェアトレードとは、生産者に配慮した公正な貿易ことです。
G096,geography,用語,basic,J1/J2,時差の説明として最も適切なものを選びなさい。,陸地に近い海で日帰り中心に行う漁業,人口が集中し住宅や交通などに問題が起こること,遠くの海まで出て長期間行う漁業,経度の違いによって生じる時刻の差,3,経度の違いによって生じる時刻の差,時差とは、経度の違いによって生じる時刻の差ことです。
G097,geography,用語,basic,J1/J2,標準時の説明として最も適切なものを選びなさい。,季節によって風向きが大きく変わる風,日本の太平洋側を北上する暖流,地域で生産したものを地域で消費すること,国や地域で基準にする時刻,3,国や地域で基準にする時刻,標準時とは、国や地域で基準にする時刻ことです。
G098,geography,用語,basic,J1/J2,経線の説明として最も適切なものを選びなさい。,斜面を利用してつくられた階段状の水田,南北を結ぶ線,人口が少なくなり地域の活力が弱まること,地形図で同じ高さの地点を結ぶ線,1,南北を結ぶ線,経線とは、南北を結ぶ線ことです。
G099,geography,用語,basic,J1/J2,緯線の説明として最も適切なものを選びなさい。,日本の東北地方沖を南下する寒流,海岸線が複雑に入り組んだ地形,東西を結ぶ線,太陽光や風力など繰り返し利用できるエネルギー,2,東西を結ぶ線,緯線とは、東西を結ぶ線ことです。
G100,geography,用語,basic,J1/J2,等高線の説明として最も適切なものを選びなさい。,地形図で同じ高さの地点を結ぶ線,陸地に近い海で日帰り中心に行う漁業,川が海や湖にそそぐ河口付近に土砂がたまってできる地形,日本の太平洋側を北上する暖流,0,地形図で同じ高さの地点を結ぶ線,等高線とは、地形図で同じ高さの地点を結ぶ線ことです。
G101,geography,用語,basic,J1/J2,縮尺の説明として最も適切なものを選びなさい。,季節によって風向きが大きく変わる風,一定面積あたりの人口,国や地域で基準にする時刻,地図を実際よりどれだけ小さくしたかを示す割合,3,地図を実際よりどれだけ小さくしたかを示す割合,縮尺とは、地図を実際よりどれだけ小さくしたかを示す割合ことです。
G102,geography,用語,basic,J1/J2,人口密度の説明として最も適切なものを選びなさい。,東西を結ぶ線,海岸線が複雑に入り組んだ地形,陸地に近い海で日帰り中心に行う漁業,一定面積あたりの人口,3,一定面積あたりの人口,人口密度とは、一定面積あたりの人口ことです。
G103,geography,日本の気候,basic,J1/J2,日本海側の冬の天気の特徴として最も適切なものを選びなさい。,雨が少なく温暖,季節風の影響で雪や雨が多い,梅雨の影響が比較的小さい,一日の気温差が大きい,1,季節風の影響で雪や雨が多い,日本海側の冬の天気では季節風の影響で雪や雨が多いことが多いです。
G104,geography,日本の気候,basic,J1/J2,太平洋側の冬の天気の特徴として最も適切なものを選びなさい。,雨が少なく温暖,晴れる日が多く乾燥しやすい,梅雨の影響が比較的小さい,季節風の影響で雪や雨が多い,1,晴れる日が多く乾燥しやすい,太平洋側の冬の天気では晴れる日が多く乾燥しやすいことが多いです。
